POS_NAME,POS_ID,SCALE_P,SCALE_T,IS_LIN_P,IS_LIN_T,X,DATE,Y,Z,
M05445,5445,1,0.2,1,,1,2/2/21,1,,
M03108,3108,1,0.203333333,1,,,2/2/21,,,
M03379,3379,1,0.212,1,,,2/2/21,,,
M03095,3095,1,0.217333333,1,,,2/2/21,,,
M03427,3427,1,0.23,1,,,2/2/21,,,
M03452,3452,1,0.231666667,1,,,2/2/21,,,
M03684,3684,0.58,0.235333333,1,,,2/2/21,,,
M03668,3668,1,0.238,1,,,2/2/21,,,
M05612,5612,1,0.239666667,1,,,2/2/21,,,
M03771,3771,1,0.247333333,1,,,2/2/21,,,
M03151,3151,1,0.250333333,1,,,2/2/21,,,
M05264,5264,1,0.251,1,,,2/2/21,,,
M02384,2384,1,0.254666667,1,,,2/2/21,,,
M03236,3236,1,0.256666667,1,,,2/2/21,,,
M03513,3513,1,0.258,1,,,2/2/21,,,
M03538,3538,1,0.261333333,1,,,2/2/21,,,
M03639,3639,1,0.263333333,1,,,2/2/21,,,
M05398,5398,1,0.266666667,1,,,2/2/21,,,
M02723,2723,1,0.269,1,,,2/2/21,,,
M04499,4499,1,0.27,1,,,2/2/21,,,
M03199,3199,1,0.274333333,1,,,2/2/21,,,
M03786,3786,1,0.275,1,,,2/2/21,,,
M03686,3686,1,0.275333333,1,,,2/2/21,,,
M03250,3250,1,0.276666667,1,,,2/2/21,,,
M05961,5961,1,0.281,1,,,2/2/21,,,
M03256,3256,1,0.282333333,1,,,2/2/21,,,
M03983,3983,0.4,0.283,1,,,2/2/21,,,
M03784,3784,1,0.284666667,1,,,2/2/21,,,
M06874,6874,1,0.289666667,1,,,2/2/21,,,
M03082,3082,1,0.292333333,1,,,2/2/21,,,
M03508,3508,1,0.295,1,,,2/2/21,,,
M04661,4661,1,0.296,1,,,2/2/21,,,
M07695,7695,1,0.296,1,,,2/2/21,,,
M07499,7499,1,0.298,1,,,2/2/21,,,
M03296,3296,1,0.298,1,,,2/2/21,,,
M03469,3469,1,0.298333333,1,,,2/2/21,,,
M06892,6892,1,0.300333333,1,,,2/2/21,,,
M03009,3009,1,0.303333333,1,,,2/2/21,,,
M03191,3191,1,0.305,1,,,2/2/21,,,
M03060,3060,1,0.305666667,1,,,2/2/21,,,
M04161,4161,1,0.306,1,,,2/2/21,,,
M03587,3587,1,0.308666667,1,,,2/2/21,,,
M03568,3568,1,0.309,1,,,2/2/21,,,
M03322,3322,1,0.312333333,1,,,2/2/21,,,
M03086,3086,1,0.315,1,,,2/2/21,,,
